Date,Open,High,Low,Close,Adj Close,Volume
2016-09-20,155.869995,156.570007,154.449997,154.449997,150.391510,2159100
2016-09-21,154.910004,155.679993,153.869995,155.529999,151.443146,2473900
2016-09-22,156.149994,157.220001,155.690002,156.110001,152.007904,2691100
2016-09-23,155.619995,156.039993,154.710007,154.979996,150.907593,2702200
2016-09-26,154.460007,154.460007,153.460007,153.979996,149.933868,2533300
2016-09-27,154.320007,156.770004,153.809998,156.770004,152.650558,2987200
2016-09-28,156.990005,158.630005,156.229996,158.289993,154.130615,3310000
2016-09-29,158.630005,165.000000,157.460007,158.110001,153.955353,3374800
2016-09-30,158.899994,159.839996,158.059998,158.850006,154.675903,3596900
2016-10-03,158.059998,158.369995,157.020004,157.610001,153.468475,2227800
2016-10-04,157.669998,158.529999,155.820007,156.460007,152.348709,2884100
2016-10-05,157.070007,157.830002,156.720001,157.080002,152.952408,1684500
2016-10-06,156.839996,157.429993,155.889999,156.880005,152.757660,1950100
2016-10-07,157.139999,157.699997,154.860001,155.669998,151.579453,2671900
2016-10-10,156.710007,158.490005,156.660004,157.020004,152.893997,2481300
2016-10-11,156.729996,156.949997,153.889999,154.789993,150.722580,2901300
2016-10-12,154.970001,154.970001,153.080002,154.289993,150.235718,2964000
2016-10-13,153.699997,154.220001,152.270004,153.720001,149.680695,2909900
2016-10-14,154.470001,155.529999,154.089996,154.449997,150.391510,4358200
2016-10-17,154.449997,155.889999,154.339996,154.770004,150.703110,5890400
2016-10-18,150.020004,151.000000,147.789993,150.720001,146.759537,12770600
2016-10-19,151.270004,152.449997,150.830002,151.259995,147.285355,4632900
2016-10-20,151.279999,152.899994,151.020004,151.520004,147.538513,4023100
2016-10-21,150.580002,151.149994,149.559998,149.630005,145.698181,4414200
2016-10-24,150.399994,151.520004,150.399994,150.570007,146.613480,2666700
2016-10-25,150.570007,151.160004,149.830002,150.880005,146.915329,2647500
2016-10-26,150.710007,152.940002,150.259995,151.809998,147.820892,2811700
2016-10-27,152.820007,154.059998,152.020004,153.350006,149.320435,4229300
