Date,Open,High,Low,Close,Adj Close,Volume
2016-07-28,128.089996,128.199997,127.209999,127.660004,127.660004,9261800
2016-07-29,128.419998,129.410004,127.879997,128.979996,128.979996,13708200
2016-08-01,128.570007,129.339996,128.559998,129.220001,129.220001,7109900
2016-08-02,130.039993,130.550003,129.940002,130.270004,130.270004,7652800
2016-08-03,129.949997,129.960007,129.270004,129.649994,129.649994,5010700
2016-08-04,130.009995,130.279999,129.820007,129.869995,129.869995,4908100
2016-08-05,128.460007,128.550003,127.389999,127.550003,127.550003,16205100
2016-08-08,127.290001,127.699997,127.269997,127.440002,127.440002,6773800
2016-08-09,127.940002,128.139999,127.750000,127.959999,127.959999,7500400
2016-08-10,129.119995,129.199997,128.149994,128.559998,128.559998,6196200
2016-08-11,128.610001,129.190002,127.480003,127.669998,127.669998,9763800
2016-08-12,127.669998,129.259995,127.199997,127.400002,127.400002,15395800
2016-08-15,127.620003,128.250000,127.599998,127.839996,127.839996,4530800
2016-08-16,128.119995,129.039993,128.000000,128.470001,128.470001,8678100
2016-08-17,128.169998,128.990005,127.459999,128.500000,128.500000,12034800
2016-08-18,128.889999,129.169998,128.580002,129.110001,129.110001,9500600
2016-08-19,128.080002,128.669998,127.860001,127.970001,127.970001,10660100
2016-08-22,127.629997,127.919998,127.449997,127.779999,127.779999,8627200
2016-08-23,128.139999,128.220001,127.610001,127.760002,127.760002,9038500
2016-08-24,126.919998,126.970001,126.300003,126.339996,126.339996,13539700
2016-08-25,125.980003,126.309998,125.959999,126.230003,126.230003,5926300
2016-08-26,126.879997,128.110001,125.820000,126.050003,126.050003,17967700
2016-08-29,126.000000,126.480003,125.930000,126.300003,126.300003,5562400
2016-08-30,125.730003,125.949997,124.879997,125.029999,125.029999,9877000
2016-08-31,124.730003,125.110001,124.639999,124.779999,124.779999,13324100
2016-09-01,124.669998,125.510002,124.550003,125.290001,125.290001,12877700
2016-09-02,126.290001,126.570000,125.580002,126.570000,126.570000,11318600
2016-09-06,127.400002,129.080002,127.269997,128.710007,128.710007,15115300
2016-09-07,128.789993,128.860001,128.119995,128.270004,128.270004,8859800
2016-09-08,128.160004,128.520004,127.400002,127.589996,127.589996,10561800
2016-09-09,127.239998,127.510002,126.699997,126.750000,126.750000,12485600
2016-09-12,126.309998,126.919998,125.970001,126.589996,126.589996,11140300
2016-09-13,126.470001,126.599998,125.529999,125.750000,125.750000,8866400
2016-09-14,126.099998,126.540001,126.029999,126.180000,126.180000,5820700
2016-09-15,125.730003,126.099998,124.910004,125.370003,125.370003,12790400
2016-09-16,124.809998,125.250000,124.669998,125.059998,125.059998,18995100
2016-09-19,125.610001,125.620003,125.250000,125.320000,125.320000,4959600
2016-09-20,125.309998,125.589996,125.169998,125.440002,125.440002,5672000
2016-09-21,126.330002,127.419998,125.959999,127.269997,127.269997,13646400
2016-09-22,127.570000,128.199997,127.500000,127.570000,127.570000,15188000
2016-09-23,127.599998,127.860001,127.430000,127.650002,127.650002,7702300
2016-09-26,127.959999,128.039993,127.419998,127.550003,127.550003,5842700
2016-09-27,126.860001,126.900002,126.339996,126.620003,126.620003,6220700
2016-09-28,126.250000,126.400002,125.730003,126.220001,126.220001,6757700
2016-09-29,125.839996,126.339996,125.540001,126.070000,126.070000,7448400
2016-09-30,126.519997,126.550003,125.239998,125.639999,125.639999,11204300
2016-10-03,125.320000,125.459999,124.900002,125.320000,125.320000,9044100
2016-10-04,123.160004,123.180000,120.860001,120.970001,120.970001,24372700
2016-10-05,121.330002,121.589996,120.400002,120.779999,120.779999,14718100
2016-10-06,119.690002,119.980003,119.239998,119.660004,119.660004,17917700
2016-10-07,120.489998,120.580002,118.419998,119.739998,119.739998,17907300
2016-10-10,119.739998,120.419998,119.739998,120.160004,120.160004,4514400
2016-10-11,119.919998,120.160004,119.529999,119.550003,119.550003,6065300
2016-10-12,119.720001,120.070000,119.290001,119.739998,119.739998,4848600
2016-10-13,120.000000,120.419998,119.800003,120.029999,120.029999,7184600
2016-10-14,119.370003,120.160004,119.290001,119.360001,119.360001,6577300
2016-10-17,119.699997,119.919998,119.580002,119.680000,119.680000,4777900
2016-10-18,120.080002,120.639999,119.820000,120.419998,120.419998,4919700
2016-10-19,121.129997,121.459999,120.889999,121.110001,121.110001,6019800
2016-10-20,121.389999,121.589996,120.629997,120.739998,120.739998,6496700
2016-10-21,120.900002,120.930000,120.550003,120.830002,120.830002,6707800
2016-10-24,121.279999,121.300003,120.160004,120.559998,120.559998,5481100
2016-10-25,120.889999,121.760002,120.860001,121.470001,121.470001,6141100
2016-10-26,121.370003,121.529999,120.610001,120.790001,120.790001,3905900
2016-10-27,121.110001,121.180000,120.750000,121.010002,121.010002,4336000
2016-10-28,121.199997,122.480003,120.809998,121.580002,121.580002,11639900
2016-10-31,121.510002,122.000000,121.230003,121.940002,121.940002,7722100
2016-11-01,122.800003,123.209999,122.570000,122.730003,122.730003,13384300
2016-11-02,123.760002,124.760002,123.559998,123.639999,123.639999,15692400
2016-11-03,123.360001,124.330002,123.349998,124.300003,124.300003,10093100
2016-11-04,124.400002,124.540001,124.040001,124.389999,124.389999,8594600
2016-11-07,122.660004,122.709999,121.879997,122.150002,122.150002,10015000
2016-11-08,122.120003,123.089996,121.360001,121.639999,121.639999,9173700
2016-11-09,124.300003,124.349998,121.110001,121.559998,121.559998,18236500
2016-11-10,121.519997,121.540001,119.379997,119.750000,119.750000,22268000
2016-11-11,119.650002,119.690002,116.230003,117.099998,117.099998,20091000
2016-11-14,116.120003,117.139999,115.489998,116.110001,116.110001,20729400
2016-11-15,116.459999,117.239998,116.290001,117.120003,117.120003,9348600
2016-11-16,117.269997,117.269997,116.580002,116.769997,116.769997,5486100
2016-11-17,116.910004,117.220001,115.440002,116.169998,116.169998,10342300
2016-11-18,115.519997,115.769997,114.959999,115.150002,115.150002,10444300
2016-11-21,115.720001,115.940002,115.290001,115.580002,115.580002,6654200
2016-11-22,115.720001,115.790001,114.980003,115.540001,115.540001,6391900
2016-11-23,113.870003,113.879997,112.650002,113.250000,113.250000,20982100
2016-11-25,113.419998,113.510002,112.349998,112.610001,112.610001,5345900
2016-11-28,113.230003,113.839996,112.769997,113.800003,113.800003,5655400
2016-11-29,112.760002,113.480003,112.690002,113.269997,113.269997,7438600
2016-11-30,112.690002,112.790001,111.500000,111.750000,111.750000,10925500
2016-12-01,111.110001,111.989998,110.629997,111.540001,111.540001,10237000
2016-12-02,111.889999,112.320000,111.779999,112.139999,112.139999,7416500
2016-12-05,111.150002,112.110001,110.309998,111.540001,111.540001,10187900
2016-12-06,111.690002,112.029999,111.190002,111.430000,111.430000,5533700
2016-12-07,112.129997,112.500000,111.769997,111.830002,111.830002,4901800
2016-12-08,111.720001,111.870003,111.459999,111.570000,111.570000,5977800
2016-12-09,111.180000,111.250000,110.190002,110.400002,110.400002,10507700
2016-12-12,110.589996,111.110001,110.269997,110.820000,110.820000,6156700
2016-12-13,110.570000,110.790001,110.059998,110.449997,110.449997,7961600
2016-12-14,110.949997,110.980003,108.519997,108.830002,108.830002,12933600
2016-12-15,107.849998,107.989998,107.000000,107.339996,107.339996,14427500
2016-12-16,107.949997,108.779999,107.480003,108.050003,108.050003,10602800
2016-12-19,108.599998,108.879997,108.339996,108.589996,108.589996,5339100
2016-12-20,107.470001,108.000000,107.290001,107.790001,107.790001,7321100
2016-12-21,108.250000,108.309998,107.680000,107.849998,107.849998,5188700
2016-12-22,107.680000,108.099998,107.489998,107.589996,107.589996,4942800
2016-12-23,107.839996,108.250000,107.800003,107.930000,107.930000,5008300
2016-12-27,108.610001,108.669998,108.239998,108.559998,108.559998,3685500
2016-12-28,108.400002,108.910004,108.290001,108.860001,108.860001,5091200
2016-12-29,109.230003,110.529999,109.160004,110.290001,110.290001,7563900
2016-12-30,110.379997,110.620003,109.529999,109.610001,109.610001,8873700
2017-01-03,109.620003,111.000000,109.370003,110.470001,110.470001,7527400
2017-01-04,111.059998,111.220001,110.610001,110.860001,110.860001,4904100
2017-01-05,112.160004,112.940002,112.070000,112.580002,112.580002,9606800
2017-01-06,111.809998,112.379997,111.570000,111.750000,111.750000,7686100
2017-01-09,112.389999,113.040001,112.180000,112.669998,112.669998,5674600
2017-01-10,112.940002,113.449997,112.639999,113.150002,113.150002,6093400
2017-01-11,112.870003,114.190002,112.169998,113.500000,113.500000,9918700
2017-01-12,114.519997,114.930000,113.809998,113.910004,113.910004,8457300
2017-01-13,113.650002,114.309998,113.190002,114.209999,114.209999,7261500
2017-01-17,115.889999,115.959999,115.500000,115.849998,115.849998,9142400
2017-01-18,115.739998,115.919998,114.559998,114.870003,114.870003,6498100
2017-01-19,114.320000,114.959999,113.940002,114.769997,114.769997,6437000
2017-01-20,114.650002,115.760002,114.320000,115.050003,115.050003,12261500
2017-01-23,115.510002,116.169998,115.199997,115.790001,115.790001,6373100
2017-01-24,115.690002,116.019997,114.940002,115.269997,115.269997,5798800
2017-01-25,114.139999,114.440002,113.680000,114.320000,114.320000,6697500
2017-01-26,113.239998,113.510002,112.830002,113.260002,113.260002,5390500
2017-01-27,112.930000,113.550003,112.809998,113.489998,113.489998,6706600
2017-01-30,113.610001,114.300003,113.540001,113.970001,113.970001,7687800
2017-01-31,115.269997,115.820000,115.180000,115.550003,115.550003,10421900
2017-02-01,114.660004,115.449997,114.139999,115.199997,115.199997,6932900
2017-02-02,116.260002,116.570000,115.629997,115.839996,115.839996,7189500
2017-02-03,115.730003,116.370003,115.709999,116.129997,116.129997,9455500
2017-02-06,117.070000,117.739998,116.739998,117.699997,117.699997,8547800
2017-02-07,117.309998,117.739998,117.199997,117.459999,117.459999,8621000
2017-02-08,118.089996,118.589996,117.809998,118.190002,118.190002,9633400
2017-02-09,118.190002,118.580002,117.199997,117.290001,117.290001,8177200
2017-02-10,116.680000,117.860001,116.669998,117.599998,117.599998,9072100
2017-02-13,116.730003,116.949997,116.150002,116.800003,116.800003,7354900
2017-02-14,117.510002,117.559998,116.379997,116.930000,116.930000,6927800
2017-02-15,116.330002,117.480003,116.250000,117.449997,117.449997,7088400
2017-02-16,117.930000,118.349998,117.830002,118.080002,118.080002,6378700
2017-02-17,118.190002,118.400002,117.620003,117.680000,117.680000,7338100
2017-02-21,117.040001,118.000000,116.769997,117.750000,117.750000,6166900
2017-02-22,117.860001,118.019997,117.239998,117.910004,117.910004,6057200
2017-02-23,118.760002,119.160004,118.680000,118.940002,118.940002,7523300
2017-02-24,119.739998,119.879997,119.250000,119.699997,119.699997,9809000
2017-02-27,119.730003,120.400002,119.120003,119.120003,119.120003,9263500
2017-02-28,119.709999,119.839996,118.820000,119.230003,119.230003,8727800
2017-03-01,117.980003,119.120003,117.949997,119.059998,119.059998,8679600
2017-03-02,117.760002,118.339996,117.230003,117.580002,117.580002,10986300
2017-03-03,116.949997,117.730003,116.440002,117.510002,117.510002,10665800
2017-03-06,117.349998,117.349998,116.629997,116.720001,116.720001,4883500
2017-03-07,116.129997,116.250000,115.620003,115.779999,115.779999,6846300
2017-03-08,114.989998,115.360001,114.949997,115.059998,115.059998,7620900
2017-03-09,114.779999,115.029999,114.410004,114.470001,114.470001,6410900
2017-03-10,114.449997,114.730003,114.129997,114.720001,114.720001,7929500
2017-03-13,114.629997,114.910004,114.510002,114.739998,114.739998,5807400
2017-03-14,114.540001,115.010002,114.029999,114.120003,114.120003,5301800
2017-03-15,114.290001,116.250000,114.019997,116.250000,116.250000,13524100
2017-03-16,117.269997,117.290001,116.690002,116.730003,116.730003,9322000
2017-03-17,117.040001,117.269997,116.910004,116.989998,116.989998,4683000
2017-03-20,117.309998,117.599998,117.209999,117.510002,117.510002,4000200
2017-03-21,117.769997,118.800003,117.760002,118.540001,118.540001,9567900
2017-03-22,118.870003,119.150002,118.680000,118.830002,118.830002,7287400
2017-03-23,119.150002,119.250000,118.320000,118.669998,118.669998,6201100
2017-03-24,118.500000,119.209999,118.389999,118.860001,118.860001,6879600
2017-03-27,119.930000,120.080002,119.269997,119.529999,119.529999,8519600
2017-03-28,119.739998,119.830002,118.779999,119.040001,119.040001,7112800
2017-03-29,119.220001,119.449997,119.050003,119.330002,119.330002,4911000
2017-03-30,118.769997,119.120003,118.320000,118.470001,118.470001,6894600
2017-03-31,118.610001,119.080002,118.459999,118.720001,118.720001,8520800
2017-04-03,118.690002,119.370003,118.669998,119.349998,119.349998,6105700
2017-04-04,119.589996,119.769997,119.379997,119.620003,119.620003,4687300
2017-04-05,118.620003,119.629997,118.400002,119.620003,119.620003,8106000
2017-04-06,119.220001,119.419998,118.980003,119.180000,119.180000,4633500
2017-04-07,120.300003,120.669998,119.139999,119.459999,119.459999,12351100
2017-04-10,119.040001,119.690002,118.849998,119.459999,119.459999,4623700
