Date,Open,High,Low,Close,Adj Close,Volume
2016-07-28,35.236794,35.683060,34.945354,35.537342,33.755516,3645900
2016-07-29,35.564663,36.065575,35.555557,35.728596,33.937180,5282500
2016-08-01,35.728596,35.956284,35.537342,35.928963,34.127499,2515200
2016-08-02,35.828781,35.947178,35.355190,35.482697,33.703609,2705600
2016-08-03,35.519127,35.637524,34.972679,35.601093,33.816071,2923900
2016-08-04,35.000000,35.136612,34.772312,35.063751,33.802895,2568300
2016-08-05,35.063751,35.236794,34.881603,34.981785,33.723877,2037300
2016-08-08,35.009106,35.227688,34.854282,35.009106,33.750217,2224500
2016-08-09,35.054646,35.628414,34.608379,35.473587,34.197998,4946100
2016-08-10,35.591984,36.311474,35.591984,35.974499,34.680897,5030300
2016-08-11,35.965393,36.065575,34.918034,35.118397,33.855579,4643400
2016-08-12,35.173042,35.956284,35.118397,35.637524,34.356037,2929900
2016-08-15,35.637524,35.983608,35.573769,35.965393,34.672119,4180300
2016-08-16,35.792351,35.837887,35.564663,35.728596,34.443836,5353200
2016-08-17,35.801456,36.193077,35.546448,36.074680,34.777477,6214500
2016-08-18,35.965393,36.393444,35.965393,36.284153,34.979416,4384000
2016-08-19,36.174862,36.393444,35.755920,35.947178,34.654556,4414700
2016-08-22,35.956284,36.165756,35.737705,35.901638,34.610657,3926000
2016-08-23,36.092896,36.420765,35.947178,36.229507,34.926735,2638400
2016-08-24,36.238617,36.357014,35.728596,35.938068,34.645779,1721400
2016-08-25,35.938068,36.338799,35.856102,36.047359,34.751137,1898100
2016-08-26,36.129326,36.238617,35.000000,35.282333,34.013622,3233200
2016-08-29,35.282333,35.865208,35.282333,35.637524,34.356037,2053000
2016-08-30,35.728596,35.919853,35.400730,35.901638,34.610657,2401600
2016-08-31,35.910748,36.056465,35.610199,35.819672,34.531635,3368600
2016-09-01,35.837887,35.874317,35.145718,35.336975,34.066296,2929600
2016-09-02,35.437157,36.047359,35.273224,35.591984,34.312138,2150900
2016-09-06,35.683060,36.566486,35.528233,36.548271,35.234039,4007700
2016-09-07,36.448086,36.821495,36.411659,36.730419,35.409634,3447800
2016-09-08,36.502731,36.502731,35.865208,36.065575,34.768696,7957700
2016-09-09,35.692169,35.692169,34.444443,34.726776,33.478039,7225900
2016-09-12,34.517303,35.018215,34.307831,34.699455,33.451702,5721400
2016-09-13,34.517303,34.617485,33.524590,33.652096,32.442005,4231500
2016-09-14,33.806923,33.989071,33.415302,33.642986,32.433220,3294000
2016-09-15,33.597450,33.888889,33.378872,33.724953,32.512241,2594500
2016-09-16,33.588341,33.897995,33.378872,33.843353,32.626385,4717800
2016-09-19,33.979965,34.162113,33.888889,34.098362,32.872223,2902700
2016-09-20,34.362476,34.562843,34.189434,34.280510,33.047825,2779600
2016-09-21,34.271404,34.799637,33.806923,34.744991,33.495602,2842600
2016-09-22,34.972679,35.500912,34.908924,35.437157,34.162876,3195800
2016-09-23,35.346085,36.001820,35.027321,35.774136,34.487740,3515900
2016-09-26,35.628414,36.156647,35.555557,36.065575,34.768696,3768600
2016-09-27,36.065575,36.074680,35.209473,35.300545,34.031174,4077400
2016-09-28,35.446266,35.856102,35.346085,35.828781,34.540417,2315700
2016-09-29,35.673954,35.810566,35.081966,35.100182,33.838017,3209000
2016-09-30,35.355190,35.610199,34.535519,34.562843,33.320004,4596400
2016-10-03,34.408016,34.690346,34.162113,34.253189,33.021481,3345000
2016-10-04,34.389801,34.444443,33.205830,33.551914,32.345425,4699400
2016-10-05,33.670311,33.870674,32.841530,33.069218,31.880085,3217000
2016-10-06,32.950821,33.142078,32.495445,32.741348,31.564005,2837100
2016-10-07,32.887066,33.433514,32.650272,32.704918,31.528887,2972300
2016-10-10,32.741348,33.051003,32.695812,32.841530,31.660583,1575100
2016-10-11,32.750454,32.914391,32.358833,32.559200,31.388407,2287300
2016-10-12,32.531876,32.896175,32.449909,32.868851,31.686924,2416000
2016-10-13,32.723133,33.378872,32.568306,33.214935,32.020561,3130600
2016-10-14,33.214935,33.397087,32.905281,33.005463,31.818624,1795200
2016-10-17,33.023678,33.360657,32.868851,33.078323,31.888865,2777800
2016-10-18,33.296902,33.779598,33.132969,33.415302,32.213726,2716100
2016-10-19,33.433514,34.016392,33.333332,33.561020,32.354202,3194000
2016-10-20,33.488159,33.688526,33.306011,33.387978,32.187386,2611100
2016-10-21,33.132969,33.333332,32.586521,32.650272,31.476206,4724300
2016-10-24,32.868851,33.260475,32.604736,32.859745,31.678148,3135600
2016-10-25,32.905281,32.923496,32.404373,32.413479,31.247927,3507400
2016-10-26,32.367943,32.440800,31.757742,31.939890,30.791367,4188800
2016-10-27,31.876139,31.876139,30.983606,31.038252,29.922150,4387800
2016-10-28,31.156649,31.384335,31.020037,31.092896,29.974829,3650300
2016-10-31,31.211294,31.375227,31.083788,31.193079,30.071411,5827500
2016-11-01,30.950001,32.320000,30.250000,30.469999,29.374332,10682700
2016-11-02,30.410000,30.450001,29.219999,29.230000,28.178921,6656600
2016-11-03,29.230000,29.230000,28.379999,28.670000,27.639059,6363100
2016-11-04,28.770000,29.570000,28.610001,29.520000,28.458492,7522400
2016-11-07,29.940001,30.280001,29.660000,30.260000,29.171886,5102100
2016-11-08,29.820000,29.840000,29.280001,29.709999,28.996208,4466400
2016-11-09,28.760000,29.379999,27.889999,28.830000,28.137352,6493700
2016-11-10,28.660000,28.790001,27.610001,27.940001,27.268734,7961200
2016-11-11,27.850000,28.410000,27.850000,28.100000,27.424889,4516300
2016-11-14,27.980000,29.510000,27.850000,29.400000,28.693657,5546000
2016-11-15,29.510000,29.959999,28.980000,29.410000,28.703417,4668700
2016-11-16,29.340000,29.610001,29.070000,29.320000,28.615578,2261100
2016-11-17,29.209999,29.350000,28.670000,28.760000,28.069033,2695200
2016-11-18,28.780001,28.940001,28.480000,28.680000,27.990953,3052700
2016-11-21,29.020000,29.330000,28.600000,28.670000,27.981195,3473200
2016-11-22,29.030001,29.430000,28.549999,29.400000,28.693657,3896900
2016-11-23,29.160000,29.570000,28.920000,29.510000,28.801014,4938300
2016-11-25,29.590000,29.650000,29.129999,29.260000,28.557020,2109100
2016-11-28,29.250000,29.780001,29.200001,29.379999,28.674135,4247400
2016-11-29,29.379999,29.900000,29.330000,29.600000,28.888851,4169200
2016-11-30,29.330000,29.670000,29.010000,29.530001,28.820534,5586500
2016-12-01,29.330000,29.350000,28.420000,28.610001,27.922638,4239800
2016-12-02,28.760000,29.459999,28.760000,29.080000,28.381344,2709300
2016-12-05,29.150000,29.260000,28.820000,29.230000,28.527740,3194500
2016-12-06,29.280001,29.629999,29.190001,29.430000,28.722935,3374500
2016-12-07,29.549999,30.190001,29.500000,30.129999,29.406116,3792200
2016-12-08,29.870001,30.440001,29.700001,30.110001,29.386599,4607000
2016-12-09,30.190001,30.580000,29.950001,30.040001,29.318281,4324400
2016-12-12,29.910000,30.360001,29.730000,30.350000,29.620832,4224600
2016-12-13,30.549999,30.680000,30.040001,30.389999,29.659870,4855200
2016-12-14,30.400000,30.459999,28.969999,29.010000,28.313026,6635900
2016-12-15,28.969999,29.049999,28.299999,28.410000,27.727440,7020900
2016-12-16,28.459999,29.260000,28.410000,29.139999,28.439903,8264300
2016-12-19,29.410000,30.430000,29.410000,30.299999,29.572033,4574500
2016-12-20,30.209999,30.420000,29.809999,30.020000,29.298761,3538100
2016-12-21,30.020000,30.290001,29.330000,29.370001,28.664377,2778300
2016-12-22,29.340000,29.430000,28.889999,29.180000,28.478943,3367700
2016-12-23,29.280001,29.400000,29.070000,29.260000,28.557020,2148300
2016-12-27,29.260000,29.490000,29.150000,29.370001,28.664377,2449600
2016-12-28,29.400000,29.400000,28.799999,29.010000,28.313026,3728200
2016-12-29,29.100000,29.469999,28.959999,29.360001,28.654619,3982200
2016-12-30,29.480000,29.840000,29.330000,29.719999,29.005968,3985100
2017-01-03,29.879999,29.920000,29.520000,29.780001,29.064528,3083500
2017-01-04,29.889999,30.570000,29.809999,30.440001,29.708670,5343100
2017-01-05,30.549999,31.260000,30.250000,31.150000,30.401611,4948900
2017-01-06,31.129999,31.480000,30.620001,31.219999,30.469931,5003800
2017-01-09,31.230000,31.350000,30.809999,30.809999,30.069780,4373500
2017-01-10,30.709999,30.750000,29.950001,30.049999,29.328039,4303000
2017-01-11,30.100000,30.490000,29.969999,30.400000,29.669630,5660000
2017-01-12,30.400000,30.500000,29.990000,30.410000,29.679392,2942700
2017-01-13,30.340000,30.510000,29.990000,30.219999,29.493954,2695000
2017-01-17,30.330000,30.730000,30.330000,30.680000,29.942905,2849100
2017-01-18,30.549999,30.920000,30.530001,30.549999,29.816027,3027700
2017-01-19,30.410000,30.410000,29.750000,29.959999,29.240200,4535300
2017-01-20,29.950001,30.150000,29.870001,30.070000,29.347559,3125100
2017-01-23,30.110001,30.370001,29.959999,30.330000,29.601313,2467200
2017-01-24,30.340000,30.480000,30.030001,30.240000,29.513475,3119300
2017-01-25,30.500000,30.610001,29.680000,29.879999,29.162125,6139000
2017-01-26,29.940001,30.070000,29.530001,29.600000,28.888851,5316000
2017-01-27,29.670000,29.719999,29.389999,29.559999,28.849812,4119400
2017-01-30,29.590000,30.129999,29.360001,30.070000,29.347559,6768000
2017-01-31,30.139999,30.770000,29.760000,30.320000,29.591555,23569800
2017-02-01,30.330000,30.629999,29.809999,30.040001,29.318281,5473900
2017-02-02,30.000000,30.719999,29.879999,30.700001,29.962423,4155200
2017-02-03,30.799999,31.000000,30.580000,30.750000,30.011221,3843800
2017-02-06,30.750000,30.930000,30.540001,30.920000,30.177137,3455000
2017-02-07,31.000000,31.090000,30.680000,30.750000,30.011221,3173200
2017-02-08,30.860001,31.129999,30.770000,30.910000,30.167377,2260600
2017-02-09,30.910000,31.059999,30.620001,30.680000,29.942905,4713500
2017-02-10,30.610001,30.809999,30.549999,30.700001,29.962423,3180300
